id,type,district,lon,lat,level
N_1245,junction,บางขุนเทียน,100.47485,13.6012,-1
N_1246,junction,บางขุนเทียน,100.47545,13.60123,-1
N_1247,junction,หนองจอก,100.87636,13.89131,-1
N_1248,junction,หนองจอก,100.88596,13.88577,-1
N_1249,junction,หนองจอก,100.8791,13.86973,-1
N_125,junction,สวนหลวง,100.60133,13.74032,-1
N_1250,junction,หนองจอก,100.87936,13.85338,-1
N_1251,junction,บางกอกน้อย,100.45343,13.76647,-1
N_1252,junction,บางกอกน้อย,100.45957,13.76648,-1
N_1253,junction,บางเขน,100.67379,13.88103,-1
N_1254,junction,บางเขน,100.6844,13.87396,-1
N_1255,junction,ธนบุรี,100.49251,13.73375,-1
N_1256,junction,ธนบุรี,100.48831,13.73746,-1
N_1257,junction,หนองจอก,100.81998,13.87061,-1
N_1258,junction,หนองจอก,100.80735,13.87424,-1
N_1259,junction,คลองสามวา,100.77629,13.87035,-1
N_126,junction,สวนหลวง,100.60072,13.7381,-1
N_1260,junction,ประเวศ,100.69391,13.70466,-1
N_1261,junction,ประเวศ,100.69808,13.68053,-1
N_1262,junction,หนองจอก,100.836,13.86235,-1
N_1263,junction,หนองจอก,100.8297,13.86278,-1
N_1264,junction,ภาษีเจริญ,100.45114,13.74117,-1
N_1265,junction,ภาษีเจริญ,100.45178,13.73623,-1
N_1266,junction,ทวีวัฒนา,100.33994,13.75286,-1
N_1267,junction,ประเวศ,100.70639,13.67861,-1
N_1268,junction,ราษฎร์บูรณะ,100.50186,13.65793,-1
N_1269,junction,ราษฎร์บูรณะ,100.49773,13.66078,-1
N_127,junction,ราษฎร์บูรณะ,100.49695,13.65907,-1
N_1270,junction,บางขุนเทียน,100.47177,13.63689,-1
N_1271,junction,บางขุนเทียน,100.47143,13.63746,-1
N_1272,junction,บางกอกน้อย,100.47199,13.77158,-1
N_1273,junction,บางกอกน้อย,100.47586,13.77611,-1
N_1274,junction,บางขุนเทียน,100.47224,13.62529,-1
N_1275,junction,บางขุนเทียน,100.45014,13.61856,-1
N_1276,junction,บางแค,100.41361,13.70287,-1
N_1277,junction,บางแค,100.41627,13.69587,-1
N_1278,junction,ประเวศ,100.67477,13.70041,-1
N_1279,junction,บางพลัด,100.50185,13.77982,-1
N_128,junction,ราษฎร์บูรณะ,100.49955,13.65389,-1
N_1280,junction,บางพลัด,100.49529,13.78245,-1
N_1281,junction,จตุจักร,100.54419,13.82,-1
N_1282,junction,ดุสิต,100.51203,13.761,-1
N_1283,junction,ดุสิต,100.51475,13.7659,-1
N_1284,junction,ดุสิต,100.51282,13.76679,-1
N_1285,junction,ป้อมปราบศัตรูพ่าย,100.50944,13.76364,-1
N_1286,junction,ตลิ่งชัน,100.45416,13.74321,-1
N_1287,junction,ตลิ่งชัน,100.45374,13.74591,-1
N_1288,junction,คลองสามวา,100.70879,13.83387,-1
N_1289,junction,คลองสามวา,100.69016,13.83278,-1
N_129,junction,ธนบุรี,100.47294,13.71522,-1
N_1290,junction,บางพลัด,100.47913,13.77602,-1
N_1291,junction,บางพลัด,100.48118,13.77777,-1
N_1292,junction,บางกอกน้อย,100.47167,13.77124,-1
N_1293,junction,บางแค,100.39121,13.68306,-1
N_1294,junction,บางแค,100.3891,13.69434,-1
N_1295,junction,คลองเตย,100.58687,13.70484,-1
N_1296,junction,คลองเตย,100.58724,13.70177,-1
N_1297,junction,บางขุนเทียน,100.40946,13.60308,-1
