quality_issue_fact_key,district_key,issue_type,severity,entity_type,entity_id,source_layer,source_path,spatial_hash_geohash7,polygon_district_code,review_status,requires_manual_review
764ab35a89e99adb8786dbcb689cea06081c4506f64046b6551236252c743ad8,1019,unresolved_asset_owner,high,drainage_asset,canals:5415,canals,data/geojson/canals.geojson,w4rqjyh,,unresolved,1
4020efa9b1da9bf6f7b160e59556f2137b7eb476e32eb73bd0f45f5e6fe682b1,1019,unresolved_asset_owner,high,drainage_asset,canals:5416,canals,data/geojson/canals.geojson,w4rqjnn,,unresolved,1
41d03fd244cd6831765b97e7d1026760fcfce4aba453a623e292a5c6485c89d8,1019,unresolved_asset_owner,high,drainage_asset,canals:5417,canals,data/geojson/canals.geojson,w4rqjy5,,unresolved,1
2b8139bdc68e6f6d3bc0e0289bb03f4df0a8194e1e447c92fe04827d81d760c6,1019,unresolved_asset_owner,high,drainage_asset,canals:5418,canals,data/geojson/canals.geojson,w4rqjy5,,unresolved,1
4ba051bc92deafd2bb22ebaecde95886c8759efce954449c982895b3ee58940f,1019,unresolved_asset_owner,high,drainage_asset,canals:5419,canals,data/geojson/canals.geojson,w4rqjwx,,unresolved,1
945f815f67ea1830b9c695f0cf204f2d9e820381daf04ed263bcf055d4e7f25a,1019,unresolved_asset_owner,high,drainage_asset,canals:5420,canals,data/geojson/canals.geojson,w4rqjwr,,unresolved,1
7e9c23b1f0ed741fa71d859ecbe28a6b12fd030094df72cb1757925137f1b491,1019,unresolved_asset_owner,high,drainage_asset,canals:5421,canals,data/geojson/canals.geojson,w4rqnn3,,unresolved,1
4ddcef53227921cedaea6d8e330d0fd4547a8a332afe67abb528eb7f2439ffa8,1019,unresolved_asset_owner,high,drainage_asset,canals:5422,canals,data/geojson/canals.geojson,w4rqjwt,,unresolved,1
235ea1754befe24d3864ca74105034d900b4df6fb4d7ef96e2f3756ed115fce6,1019,unresolved_asset_owner,high,drainage_asset,canals:5423,canals,data/geojson/canals.geojson,w4rqjnc,,unresolved,1
7fc2d61737ffc70afbc96324727caa00919731e0e1f79e6df78a018331c2c1cd,1019,unresolved_asset_owner,high,drainage_asset,canals:5424,canals,data/geojson/canals.geojson,w4rqhyz,,unresolved,1
b76b59bf2f0f4f46f6d18eebe80fe02ab741bb92a5c4307fd5ddb20be2f84cf7,1019,unresolved_asset_owner,high,drainage_asset,canals:5425,canals,data/geojson/canals.geojson,w4rqjpp,,unresolved,1
5815b9771ae53b0d2f95e9edd2a630d02c446d0233b34ad6b256ea8cb38279ec,1019,unresolved_asset_owner,high,drainage_asset,canals:5444,canals,data/geojson/canals.geojson,w4rqmb2,,unresolved,1
ac743a47121a5379103cc758fcb55d42ec58ab2e2a84271d9aa9e83481590e20,1019,unresolved_asset_owner,high,drainage_asset,canals:5445,canals,data/geojson/canals.geojson,w4rqkb7,,unresolved,1
